m30,BTR1,FET1,FDT1,SHR1,GRS1,CRP1,AVE1
14568,128,6373,8,11028,1129,12,466.3
14569,128,6373,8,11156,1129,12,369.6
14570,128,6373,8,11156,1129,12,372.7
14571,128,6373,8,11156,1129,12,328.8
14572,128,6245,8,11028,1106,12,641.9
14573,128,6373,8,11156,1129,12,302.6
14574,128,6373,8,10387,993,12,96.6
14575,128,25,8,11156,1129,12,22.1
14576,128,25,8,11156,1129,12,7.7
14580,128,25,8,11156,1129,12,0.7
14581,128,6373,8,11156,1129,12,94.7
14582,128,6373,8,11156,1129,12,183.2
14583,128,6373,8,11156,1129,12,740.1
14584,128,6373,8,11156,1129,12,1780.5
14585,128,6373,8,11156,1129,12,1556
14586,128,6373,8,11156,1129,12,219.1
14587,128,25,8,11156,1129,12,21
14588,128,6373,8,11156,1129,12,129.7
14589,128,5735,8,11156,1129,12,255.5
14590,128,25,8,11156,1129,12,177.2
14591,128,6373,8,11156,1129,12,480.4
14592,128,6373,8,11156,1129,12,1349.7
14593,128,6373,8,11156,1129,12,2214.2
14594,128,6373,8,11156,1129,12,1593.7
14595,128,6373,8,11156,1129,12,848.4
14596,128,6373,8,11156,1129,12,469.8
14597,128,25,8,10387,1007,12,42.6
14598,128,6373,8,10772,1115,12,101.5
14599,128,0,8,256,47,12,3.9
14600,128,0,8,0,0,12,0
14601,128,25,8,0,0,12,0
14605,128,25,8,0,0,4,0
14606,128,25,8,0,0,12,0
14608,128,25,8,11156,1129,12,3.6
14609,128,25,8,11156,1129,12,2.2
14610,128,25,8,11156,1129,12,12.9
14611,128,25,8,10900,1106,12,20.1
14612,128,25,8,11156,1129,12,5
14613,128,25,8,11156,1129,4,0.7
14615,128,25,8,11156,1129,12,1.5
14616,128,25,8,11156,1129,12,3.9
14617,128,25,8,11156,1129,4,0.2
14713,128,25,8,11156,1129,4,0.3
14714,128,25,8,11156,1129,4,1.4
14715,128,25,8,11156,1129,12,1.6
14716,128,153,8,11156,1129,4,0.2
14717,128,25,8,11156,1129,4,0.3
14719,128,0,8,3462,395,12,2.6
14721,128,25,8,0,0,12,0
14722,128,25,8,0,0,12,0
14782,128,382,8,4873,1049,12,12.8
14783,128,765,8,1795,202,12,1
14784,128,25,8,0,0,12,0
14785,128,25,8,2180,692,12,2.4
14786,128,535,8,6284,1125,12,104.7
14787,128,765,8,6155,1120,12,294.3
14788,128,765,8,6284,1064,12,241.9
14789,128,765,8,5258,1016,12,21.7
14790,128,765,8,6284,1125,12,21.4
14791,128,765,8,6412,1129,12,16.2
14792,128,765,8,4360,819,12,26
14793,128,25,8,5899,1115,12,17.6
14794,128,765,8,6412,1129,12,49.7
14796,128,765,8,6284,1092,12,14.3
14797,128,153,8,128,5,4,0
14798,128,25,8,6412,1129,4,0.4
14800,128,765,8,6412,1129,12,6.2
14802,128,765,8,6412,1129,12,12.3
14803,128,0,8,128,5,4,0
14804,128,25,8,3591,569,12,7.2
14805,128,25,8,6412,1129,12,11.2
14861,128,25,8,0,0,12,0
14913,128,25,8,128,202,12,0.2
14914,128,25,8,3975,320,12,7.4
14915,128,25,8,0,0,4,0
14943,128,25,8,0,0,12,0
14944,128,25,8,2180,447,12,22.4
14945,128,25,8,2821,494,12,41.7
14946,128,765,8,6412,1129,12,16.5
14947,128,433,8,5386,1054,12,40.5
14948,128,204,8,2180,362,12,104.5
14949,128,663,8,5386,955,12,432.7
14950,128,688,8,6027,1092,12,299.4
14951,128,765,8,6412,1129,12,24.6
14952,128,765,8,6412,1129,12,102.8
14953,128,765,8,6412,1129,12,170.4
14954,128,25,8,6412,1129,12,12.4
14955,128,25,8,6412,1129,4,2.2
14960,128,25,8,0,0,12,0
14961,128,25,8,0,0,12,0
15290,128,25,8,11156,1129,12,104.7
15291,128,25,8,10900,1092,12,65.3
15292,128,6373,8,10900,1115,12,219.7
15293,128,6194,8,11028,1111,12,569.7
15294,128,6373,8,11028,1106,12,489.1
15295,128,6373,8,11028,1125,12,522.2
15296,128,6322,8,10900,1120,12,1133.6
15297,128,6373,8,11156,1120,12,619
15298,128,6373,8,11156,1082,12,403.4
15299,128,6373,8,11156,1129,12,407.8
15300,128,6373,8,10259,969,12,134.5
15301,128,6373,8,10515,918,12,56.7
15302,128,25,8,8079,626,12,1
15304,128,6373,8,11156,1129,4,5.2
15305,128,6373,8,11156,1129,12,49.8
15306,128,6373,8,11156,1129,12,189
15307,128,25,8,11156,1129,12,221
15308,128,6373,8,11156,1129,12,100.8
15309,128,6373,8,11028,1125,12,108.3
15310,128,6373,8,11156,1129,12,357
15311,128,6373,8,11156,1120,12,289
15312,128,5710,8,11156,1125,12,1023.4
15313,128,6373,8,11156,1129,12,1021.2
15314,128,6373,8,11156,1129,12,1792.1
15315,128,6373,8,11156,1129,12,494.9
15316,128,6373,8,11156,1129,12,470.4
15317,128,6373,8,11156,1129,12,706.8
15318,128,6373,8,11156,1129,12,842
15319,128,25,8,3719,362,12,41.1
15320,128,0,8,0,0,12,0
15321,128,25,8,11156,1129,12,11
15322,128,25,8,11156,1129,4,3.2
15323,128,25,8,11156,1129,4,0.2
15324,128,25,8,11156,1129,4,10.8
15325,128,25,8,11156,1129,4,0.3
15326,128,25,8,11156,1129,12,4.3
15327,128,25,8,11156,1129,12,2.9
15328,128,25,8,1795,198,12,0.5
15329,128,25,8,11028,1101,12,33
15330,128,25,8,8976,1068,12,18.2
15331,128,25,8,11028,1106,12,16.8
15343,128,25,8,11156,1129,12,2.6
15344,128,25,8,11156,1129,4,28.2
15345,128,25,8,11156,1129,12,4.1
15346,128,25,8,11156,1129,12,91.8
15347,128,25,8,10772,1111,12,71
15348,128,25,8,11156,1129,12,139.9
15349,128,25,8,11156,1129,12,63
15437,128,25,8,11156,1129,4,0.5
15438,128,25,8,11156,1129,12,56.4
15439,128,153,8,11156,1129,12,184.1
15440,128,25,8,11156,1129,12,37.3
15502,128,612,8,4745,452,12,23.6
15503,128,357,8,6155,1111,12,91.4
15504,128,25,8,3975,659,12,23
15505,128,25,8,1154,504,12,1.6
15507,128,765,8,6027,1092,12,17.8
15508,128,25,8,6027,1064,12,7.5
15509,128,25,8,5771,1031,12,25.8
15510,128,765,8,6412,1129,12,8
15511,128,765,8,6412,1129,12,31.3
15512,128,765,8,4873,922,12,22.2
15513,128,765,8,5386,969,12,126.3
15514,128,25,8,6412,1129,4,0.1
15516,128,765,8,6412,1129,12,7
15517,128,765,8,6412,1129,12,49.6
15520,128,765,8,6412,1129,12,12.9
15521,128,0,8,5386,1040,12,32
15522,128,765,8,3591,626,12,23.3
15665,128,25,8,0,0,12,0
15666,128,25,8,0,0,12,0
15667,128,306,8,1795,612,12,13.6
15668,128,255,8,1539,169,12,13.5
15669,128,688,8,3847,635,12,46.7
15670,128,25,8,769,52,12,0.8
15673,128,765,8,6412,1129,12,17.2
15674,128,765,8,6284,1125,12,188.6
15675,128,765,8,6412,1125,12,264.2
15676,128,765,8,6412,1129,12,262.4
15677,128,25,8,6412,1129,12,10
15684,128,25,8,5771,1035,12,33.7
15685,128,127,8,2308,419,12,73.3
15686,128,765,8,6412,1125,12,788.9
15687,128,25,8,5386,960,12,105.3
15688,128,25,8,4745,1007,12,133.4
15689,128,25,8,6412,1129,12,9.1
15980,128,25,8,11156,1129,12,6.3
15981,128,25,8,11156,1129,12,56.4
15982,128,25,8,11156,1129,12,4
15991,128,25,8,11156,1129,12,3.8
15993,128,25,8,11156,1129,4,0.4
15994,128,25,8,11156,1129,12,1.9
15995,128,25,8,11156,1129,12,0.6
15996,128,25,8,11156,1129,4,0.8
15998,128,25,8,11156,1129,4,0.2
16004,128,25,8,11156,1129,4,0.4
16012,128,25,8,11156,1129,4,0.4
16013,128,25,8,11156,1129,12,58.5
16014,128,6373,8,11156,1129,12,181
16015,128,6373,8,11156,1129,12,199.6
16016,128,6373,8,11156,1129,12,269.9
16017,128,6373,8,11156,1106,12,147.2
16018,128,25,8,2180,56,12,3.3
16019,128,0,8,0,0,12,0
16020,128,25,8,10259,1068,12,21.6
16021,128,1453,8,5386,621,12,104.4
16022,128,25,8,3591,278,12,22.4
16023,128,6373,8,11156,1120,12,242.4
16024,128,6373,8,11028,1125,12,108.6
16025,128,25,8,11156,1129,12,114
16026,128,6373,8,10900,1125,12,268.8
16027,128,6373,8,11156,1129,12,368.5
16028,128,6373,8,11156,1129,12,302.9
16029,128,6373,8,11156,1129,12,968.2
16030,128,6373,8,11156,1129,12,362.2
16031,128,6373,8,11156,1129,12,215.2
16032,128,25,8,11156,1129,12,230.1
16033,128,6373,8,11156,1120,12,460.7
16034,128,6373,8,11156,1129,12,749.7
16035,128,6373,8,11156,1129,12,1056.8
16036,128,6373,8,11156,1129,12,1354.7
16037,128,6373,8,11156,1129,12,950.9
16038,128,6373,8,11156,1125,12,412.9
16044,128,25,8,0,0,12,0
16048,128,25,8,0,0,12,0
16049,128,0,8,0,0,12,0
16050,128,0,8,0,0,12,0
16051,128,25,8,0,0,12,0
16056,128,25,8,11156,1129,12,9.8
16057,128,25,8,11156,1129,12,6
16058,128,25,8,11156,1129,12,62.2
16059,128,25,8,11028,1115,12,160.1
16060,128,25,8,11156,1129,12,260.9
16061,128,25,8,11156,1129,12,157.6
16062,128,153,8,11156,1129,12,142.6
16063,128,153,8,11028,1125,12,535.4
16064,128,153,8,10515,1092,12,988.3
16065,128,153,8,10387,1073,12,1209.5
16066,128,25,8,10515,1078,12,153.6
16067,128,25,8,4104,400,12,64.1
16068,128,25,8,1667,249,12,3.3
16158,128,153,8,128,5,4,0
16222,128,765,8,5771,1073,12,148.8
16223,128,765,8,6412,1129,12,78
16224,128,765,8,6155,1059,12,150.8
16225,128,765,8,5899,856,12,26.3
16226,128,25,8,6412,1129,12,1.2
16227,128,765,8,6412,1129,4,2.1
16229,128,765,8,6412,1129,12,186.9
16230,128,765,8,5899,1012,12,132.1
16231,128,688,8,6027,1096,12,447.5
16232,128,765,8,6412,1129,12,461.7
16233,128,765,8,6412,1129,12,101.6
16234,128,765,8,5642,1078,12,37.2
16235,128,25,8,6412,1129,12,5
16240,128,25,8,6412,1129,4,0.4
16241,128,688,8,2052,395,12,6.9
16242,128,765,8,6027,936,12,101.7
16243,128,510,8,5514,1002,12,261.8
16253,128,25,8,6412,1129,12,15.3
16254,128,765,8,6284,1120,12,60.9
16256,128,25,8,5386,160,12,4
16257,128,25,8,6027,894,12,35.4
16258,128,25,8,6412,5,4,0
16394,128,25,8,0,0,12,0
16395,128,586,8,4488,645,12,223.1
16396,128,0,8,6027,1012,12,724.9
16397,128,25,8,6155,1111,12,58.4
16401,128,586,8,1539,165,12,14.2
16402,128,25,8,6412,1129,12,16.3
16403,128,25,8,6412,1129,12,2.6
16405,128,25,8,6412,1129,12,3.3
16406,128,484,8,5001,974,12,66.2
16407,128,25,8,6155,1092,12,30.6
16408,128,25,8,6412,1129,12,4.6
16409,128,25,8,6412,1129,12,34.3
16410,128,25,8,6412,1129,12,6.7
16411,128,25,8,6412,1129,12,6
16696,128,25,8,11156,1129,12,3.8
16697,128,25,8,7438,753,4,0.4
16698,128,25,8,11156,5,4,0.1
16699,128,25,8,11156,1125,12,81.3
16700,128,25,8,11156,1129,12,133.4
16701,128,25,8,11156,1129,12,219.9
16702,128,25,8,11156,1129,12,38.8
16715,128,25,8,11156,1129,4,0.6
16716,128,25,8,11156,1129,4,0.3
16717,128,25,8,11156,1129,4,0.8
16721,128,25,8,11156,1129,4,1.6
16725,128,25,8,11156,1129,4,0.4
16726,128,25,8,11156,1129,4,1.1
16727,128,25,8,11156,1129,12,13.5
16728,128,25,8,11156,1129,12,25.9
16729,128,25,8,11156,1129,4,5.2
16730,128,25,8,11156,1129,4,2.7
16735,128,25,8,11156,1129,12,23.8
16736,128,25,8,11156,1129,12,264
16737,128,6373,8,11156,1129,12,540.1
16738,128,6373,8,11156,1129,12,90.5
16739,128,5531,8,10131,969,12,384.5
16740,128,5047,8,10900,1082,12,304.5
16741,128,6373,8,11156,1120,12,236.3
16742,128,25,8,10772,1125,12,80.5
16743,128,6373,8,11156,1129,12,71.9
16744,128,25,8,10131,1012,12,13.6
16745,128,25,8,11156,1129,4,0.3
16746,128,6373,8,11156,1129,12,527.1
16747,128,6373,8,11156,1125,12,2155.7
16748,128,6373,8,11156,1129,12,976.8
16749,128,6373,8,11156,1129,12,223.5
16751,128,25,8,5001,753,4,0.3
16752,128,25,8,10515,1111,12,61.3
16753,128,6373,8,11156,1129,12,569.5
16754,128,6373,8,11156,1129,12,2135.2
16755,128,6373,8,11156,1120,12,2799.7
