m30,BTR,FET,FDT,SHR,GRS,CRP
14568,0,0.012,0,4.044,1.733,0.153
14569,0,0.015,0,3.186,1.164,0.135
14570,0,0.031,0,3.224,0.981,0.151
14571,0,0.014,0,2.826,1.112,0.119
14572,0,0.051,0,5.538,2.52,0.241
14573,0,0.026,0,2.606,0.906,0.117
14574,0,0.005,0,0.889,0.404,0.032
14575,0,0,0,0.183,0.15,0.002
14576,0,0,0,0.064,0.054,0.001
14580,0,0,0,0.006,0.002,0.001
14581,0,0.001,0,0.779,0.685,0.01
14582,0,0.001,0,1.541,0.994,0.034
14583,0,0.008,0,6.356,2.702,0.242
14584,0,0.018,0,15.518,4.264,0.751
14585,0,0.039,0,13.531,3.884,0.682
14586,0,0.004,0,1.858,1.015,0.06
14587,0,0,0,0.177,0.108,0.004
14588,0,0.001,0,1.094,0.667,0.027
14589,0,0.022,0,2.101,1.749,0.025
14590,0,0,0,1.454,1.324,0.008
14591,0,0.002,0,4.062,2.398,0.121
14592,0,0.007,0,11.403,6.822,0.298
14593,0,0.02,0,18.871,9.534,0.634
14594,0,0.055,0,13.408,8.358,0.34
14595,0,0.021,0,7.232,3.559,0.246
14596,0,0.004,0,4.047,1.589,0.166
14597,0,0,0,0.387,0.237,0.007
14598,0,0.002,0,0.898,0.426,0.032
14599,0,0.004,0,1.376,0.688,0.045
14600,0,0.001,0,1.079,0.713,0.023
14601,0,0,0,0.087,0.022,0.002
14605,0,0,0,0.005,0.005,0
14606,0,0,0,0.028,0.009,0.001
14608,0,0,0,0.025,0.071,0.004
14609,0,0,0,0.019,0.008,0.001
14610,0,0,0,0.111,0.047,0.006
14611,0,0,0,0.169,0.15,0.001
14612,0,0,0,0.044,0.015,0.002
14613,0,0,0,0.006,0.003,0
14615,0,0,0,0.009,0.042,0.002
14616,0,0,0,0.033,0.024,0.001
14617,0,0,0,0.002,0.002,0
14713,0,0,0,0.003,0.003,0
14714,0,0,0,0.011,0.013,0
14715,0,0,0,0.012,0.021,0.001
14716,0,0.007,0,0.001,0.004,0
14717,0,0,0,0.002,0.002,0
14719,0,0.001,0,0.067,0.086,0.005
14721,0,0,0,0.069,0.081,0.007
14722,0,0,0,0.052,0.065,0.002
14782,0,0.007,0,0.2,0.292,0.017
14783,0,0,0,0.047,0.071,0.002
14784,0,0,0,0.006,0.045,0.002
14785,0,0,0,0.086,0.07,0.008
14786,0,0.002,0,1.567,0.548,0.101
14787,0,0.001,0,4.412,2.03,0.327
14788,0,0.002,0,3.721,0.748,0.224
14789,0,0.001,0,0.383,0.153,0.024
14790,0,0.001,0,0.294,0.26,0.027
14791,0,0.001,0,0.206,0.26,0.018
14792,0,0,0,0.522,0.389,0.015
14793,0,0,0,0.272,0.136,0.016
14794,0,0.002,0,0.747,0.164,0.041
14796,0,0,0,0.213,0.081,0.013
14797,0,0,0,0,0,0
14798,0,0,0,0.005,0.005,0
14800,0,0.002,0,0.094,0.017,0.005
14802,0,0.001,0,0.186,0.035,0.01
14803,0,0.003,0,0,0,0
14804,0,0,0,0.195,0.027,0.012
14805,0,0,0,0.17,0.031,0.009
14861,0,0,0,0.007,0.062,0.004
14913,0,0,0,0.076,0.029,0.005
14914,0,0,0,0.174,0.136,0.016
14915,0,0,0,0.005,0.002,0
14943,0,0,0,0.017,0.001,0.001
14944,0,0,0,0.982,0.215,0.059
14945,0,0,0,1.427,0.3,0.081
14946,0,0.001,0,0.246,0.059,0.017
14947,0,0.006,0,0.71,0.214,0.037
14948,0,0.058,0,4.615,1.022,0.256
14949,0,0.09,0,7.719,1.701,0.428
14950,0,0.047,0,4.805,0.866,0.265
14951,0,0.001,0,0.375,0.05,0.02
14952,0,0.008,0,1.519,0.472,0.073
14953,0,0.023,0,2.52,0.762,0.126
14954,0,0,0,0.171,0.131,0.003
14955,0,0,0,0.03,0.03,0
14960,0,0,0,0.011,0.001,0.001
14961,0,0,0,0.011,0.001,0.001
15290,0,0,0,0.871,0.665,0.017
15291,0,0,0,0.563,0.358,0.014
15292,0,0.013,0,1.912,0.94,0.065
15293,0,0.03,0,4.959,1.878,0.203
15294,0,0.016,0,4.311,1.141,0.214
15295,0,0.02,0,4.539,1.813,0.18
15296,0,0.084,0,10.099,2.443,0.51
15297,0,0.028,0,5.372,1.599,0.268
15298,0,0.026,0,3.489,1.161,0.174
15299,0,0.019,0,3.53,1.129,0.169
15300,0,0.006,0,1.247,0.629,0.047
15301,0,0.001,0,0.524,0.167,0.021
15302,0,0,0,0.012,0.008,0.001
15304,0,0.005,0,0.039,0.043,0
15305,0,0.001,0,0.414,0.311,0.006
15306,0,0.01,0,1.596,0.91,0.049
15307,0,0,0,1.85,1.292,0.033
15308,0,0.002,0,0.821,0.806,0.002
15309,0,0.001,0,0.927,0.531,0.026
15310,0,0,0,3.043,1.543,0.108
15311,0,0.005,0,2.459,1.282,0.08
15312,0,0.013,0,8.661,5.021,0.256
15313,0,0.047,0,8.641,4.797,0.28
15314,0,0.093,0,15.236,7.649,0.584
15315,0,0.021,0,4.183,2.381,0.151
15316,0,0.01,0,4.043,1.655,0.167
15317,0,0.028,0,6.077,2.394,0.258
15318,0,0.008,0,7.23,3.094,0.282
15319,0,0,0,1.045,0.612,0.03
15320,0,0.007,0,0.934,0.459,0.032
15321,0,0,0,0.088,0.105,0.004
15322,0,0,0,0.026,0.026,0
15323,0,0,0,0.002,0.002,0
15324,0,0,0,0.088,0.088,0
15325,0,0,0,0.002,0.002,0
15326,0,0,0,0.036,0.025,0.001
15327,0,0,0,0.023,0.028,0.002
15328,0,0,0,0.023,0.021,0
15329,0,0,0,0.283,0.167,0.008
15330,0,0,0,0.192,0.092,0.005
15331,0,0,0,0.144,0.077,0.003
15343,0,0,0,0.021,0.018,0
15344,0,0,0,0.23,0.224,0
15345,0,0,0,0.036,0.013,0.002
15346,0,0,0,0.799,0.231,0.044
15347,0,0,0,0.642,0.171,0.029
15348,0,0,0,1.231,0.223,0.064
15349,0,0,0,0.551,0.136,0.027
15437,0,0,0,0.003,0.011,0
15438,0,0,0,0.467,0.38,0.006
15439,0,0.001,0,1.52,1.287,0.035
15440,0,0,0,0.314,0.194,0.009
15502,0,0.001,0,0.481,0.181,0.034
15503,0,0.002,0,1.4,0.468,0.086
15504,0,0,0,0.509,0.42,0.025
15505,0,0,0,0.108,0.08,0.005
15507,0,0.001,0,0.271,0.132,0.021
15508,0,0,0,0.119,0.024,0.007
15509,0,0,0,0.416,0.168,0.018
15510,0,0.001,0,0.116,0.053,0.005
15511,0,0.006,0,0.423,0.368,0.03
15512,0,0.002,0,0.379,0.403,0.019
15513,0,0.012,0,2.039,1.691,0.074
15514,0,0,0,0.001,0,0
15516,0,0.001,0,0.106,0.012,0.007
15517,0,0.013,0,0.718,0.307,0.031
15520,0,0.001,0,0.198,0.022,0.013
15521,0,0.001,0,0.569,0.134,0.035
15522,0,0.021,0,0.599,0.258,0.023
15665,0,0,0,0.007,0.001,0.001
15666,0,0,0,0.009,0.045,0.002
15667,0,0.005,0,0.711,0.136,0.043
15668,0,0.009,0,0.857,0.182,0.057
15669,0,0.017,0,1.138,0.437,0.083
15670,0,0,0,0.106,0.042,0.004
15673,0,0.002,0,0.248,0.116,0.009
15674,0,0,0,2.692,1.724,0.101
15675,0,0.004,0,3.838,1.604,0.21
15676,0,0.006,0,3.853,1.355,0.246
15677,0,0,0,0.135,0.121,0.009
15684,0,0,0,0.536,0.265,0.032
15685,0,0.01,0,2.994,1.005,0.159
15686,0,0.081,0,11.67,3.551,0.673
15687,0,0,0,1.784,0.956,0.116
15688,0,0,0,2.621,0.89,0.171
15689,0,0,0,0.137,0.026,0.006
15980,0,0,0,0.056,0.006,0.002
15981,0,0,0,0.499,0.061,0.028
15982,0,0,0,0.035,0.004,0.003
15991,0,0,0,0.034,0.003,0.002
15993,0,0,0,0.004,0.002,0
15994,0,0,0,0.017,0.002,0.001
15995,0,0,0,0.005,0.001,0.001
15996,0,0,0,0.006,0.006,0
15998,0,0,0,0.002,0.002,0
16004,0,0,0,0.004,0.001,0
16012,0,0,0,0.003,0.002,0
16013,0,0,0,0.515,0.092,0.028
16014,0,0.016,0,1.532,0.794,0.049
16015,0,0.008,0,1.711,0.723,0.065
16016,0,0.006,0,2.33,0.849,0.102
16017,0,0.007,0,1.28,0.352,0.062
16018,0,0,0,0.148,0.066,0.006
16019,0,0.001,0,0.089,0.158,0.005
16020,0,0,0,0.206,0.04,0.011
16021,0,0.006,0,1.8,1.192,0.056
16022,0,0,0,0.602,0.289,0.018
16023,0,0.001,0,2.084,0.88,0.081
16024,0,0.001,0,0.953,0.313,0.049
16025,0,0,0,0.958,0.633,0.021
16026,0,0.004,0,2.347,1.132,0.086
16027,0,0.008,0,3.183,1.14,0.138
16028,0,0.004,0,2.567,1.436,0.074
16029,0,0.005,0,8.036,6.33,0.122
16030,0,0.016,0,3.033,2.019,0.079
16031,0,0.001,0,1.806,1.213,0.045
16032,0,0,0,1.923,1.38,0.034
16033,0,0.004,0,3.96,1.668,0.16
16034,0,0.051,0,6.508,1.807,0.341
16035,0,0.085,0,9.037,3.829,0.358
16036,0,0.072,0,11.697,4.002,0.525
16037,0,0.066,0,8.128,3.54,0.314
16038,0,0.021,0,3.518,1.696,0.12
16044,0,0,0,0.024,0.013,0.001
16048,0,0,0,0.067,0.025,0.005
16049,0,0.001,0,0.39,0.084,0.022
16050,0,0.001,0,0.231,0.027,0.013
16051,0,0,0,0.02,0.002,0.001
16056,0,0,0,0.085,0.026,0.004
16057,0,0,0,0.049,0.041,0.001
16058,0,0,0,0.514,0.427,0.011
16059,0,0,0,1.396,0.552,0.063
16060,0,0,0,2.236,1.02,0.082
16061,0,0,0,1.312,0.996,0.019
16062,0,0.001,0,1.235,0.433,0.05
16063,0,0.007,0,4.746,1.065,0.25
16064,0,0.019,0,9.106,2.814,0.422
16065,0,0.006,0,11.338,2.957,0.548
16066,0,0,0,1.402,0.572,0.049
16067,0,0,0,1.524,0.389,0.074
16068,0,0,0,0.183,0.093,0.006
16158,0,0.006,0,0,0,0
16222,0,0.063,0,2.235,1.805,0.174
16223,0,0.018,0,1.107,0.614,0.065
16224,0,0.033,0,2.151,1.713,0.18
16225,0,0.001,0,0.411,0.242,0.027
16226,0,0,0,0.017,0.008,0.001
16227,0,0,0,0.027,0.027,0
16229,0,0.123,0,2.633,1.517,0.187
16230,0,0.084,0,1.996,1.347,0.134
16231,0,0.196,0,6.799,3.317,0.381
16232,0,0.103,0,6.507,3.87,0.378
16233,0,0.044,0,1.367,1.2,0.088
16234,0,0.002,0,0.582,0.402,0.012
16235,0,0,0,0.068,0.061,0
16240,0,0,0,0.005,0.005,0
16241,0,0.006,0,0.316,0.093,0.02
16242,0,0.018,0,1.587,0.633,0.112
16243,0,0.069,0,4.577,0.905,0.277
16253,0,0,0,0.226,0.07,0.014
16254,0,0,0,0.925,0.243,0.055
16256,0,0,0,0.071,0.097,0.009
16257,0,0,0,0.543,0.292,0.038
16258,0,0,0,0.001,0,0
16394,0,0,0,0.016,0.011,0.001
16395,0,0.001,0,4.696,1.911,0.323
16396,0,0,0,11.591,2.585,0.724
16397,0,0,0,0.905,0.247,0.057
16401,0,0.001,0,0.871,0.458,0.062
16402,0,0,0,0.246,0.048,0.014
16403,0,0,0,0.034,0.042,0.002
16405,0,0,0,0.047,0.026,0.001
16406,0,0.003,0,1.264,0.3,0.075
16407,0,0,0,0.452,0.254,0.017
16408,0,0,0,0.068,0.021,0.002
16409,0,0,0,0.498,0.212,0.029
16410,0,0,0,0.087,0.098,0.007
16411,0,0,0,0.091,0.011,0.004
16696,0,0,0,0.033,0.003,0.002
16697,0,0,0,0.006,0.001,0
16698,0,0,0,0.001,0,0
16699,0,0,0,0.717,0.113,0.038
16700,0,0,0,1.181,0.144,0.066
16701,0,0,0,1.937,0.339,0.1
16702,0,0,0,0.342,0.055,0.018
16715,0,0,0,0.006,0.002,0
16716,0,0,0,0.002,0.001,0
16717,0,0,0,0.007,0.006,0
16721,0,0,0,0.013,0.013,0
16725,0,0,0,0.003,0.003,0
16726,0,0,0,0.009,0.009,0
16727,0,0,0,0.114,0.069,0.004
16728,0,0,0,0.215,0.17,0.002
16729,0,0,0,0.042,0.042,0
16730,0,0,0,0.023,0.018,0
16735,0,0,0,0.209,0.043,0.011
16736,0,0,0,2.248,1.167,0.073
16737,0,0.009,0,4.612,2.22,0.16
