Soil NOx emissions calculated according to an implementation of Yienger and Levy 1995
Tsoil, soil wetness, soil NO emission flux and canopy top flux (when) using CRF
Soil NO emission fluxes are calculated for Yienger and Levy emission class: Agric.-land              
Implying a wet soil NO emission factor:   0.36 [ngN m-2 s-1] and a dry soil NO emission factor:   0.36
     istep       ldatltime          Tsoil             ws      NO_slflux      NO_emflux
         # dd-mm-yy hh:min              K              m  molec m-2 s-1 molec. m-2 s-1
         1  24-06-12 11:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
         2  24-06-12 12:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
         3  24-06-12 12:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
         4  24-06-12 13:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
         5  24-06-12 13:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
         6  24-06-12 14:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
         7  24-06-12 14:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
         8  24-06-12 15:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
         9  24-06-12 15:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        10  24-06-12 16:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        11  24-06-12 16:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        12  24-06-12 17:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        13  24-06-12 17:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        14  24-06-12 18:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        15  24-06-12 18:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        16  24-06-12 19:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        17  24-06-12 19:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        18  24-06-12 20:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        19  24-06-12 20:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        20  24-06-12 21:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        21  24-06-12 21:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        22  24-06-12 22:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        23  24-06-12 22:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        24  24-06-12 23:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        25  24-06-12 23:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        26  25-06-12 00:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        27  25-06-12 00:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        28  25-06-12 01:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        29  25-06-12 01:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        30  25-06-12 02:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        31  25-06-12 02:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        32  25-06-12 03:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        33  25-06-12 03:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        34  25-06-12 04:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        35  25-06-12 04:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        36  25-06-12 05:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        37  25-06-12 05:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        38  25-06-12 06:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        39  25-06-12 06:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        40  25-06-12 07:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        41  25-06-12 07:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        42  25-06-12 08:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        43  25-06-12 08:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        44  25-06-12 09:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        45  25-06-12 09:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        46  25-06-12 10:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        47  25-06-12 10:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
        48  25-06-12 11:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
